year,site,tray,pos,row,column,subline,genotype,fruit_per_plant,fruit_per_seed
2010,italy,1,5,1,5,It32,italy,39,39
2010,italy,1,12,1,12,Sw7,sweden,,0
2010,italy,1,114,9,10,Sw11,sweden,8,8
2010,italy,1,123,10,6,It24,italy,19,19
2010,italy,1,143,11,13,It15,italy,8,8
2010,italy,1,149,12,6,It15,italy,6,6
2010,italy,1,156,12,13,Sw43,sweden,,0
2010,italy,1,226,18,5,It41,italy,,0
2010,italy,1,247,19,13,It24,italy,,0
2010,italy,1,252,20,5,Sw43,sweden,5,5
2010,italy,1,257,20,10,Sw47,sweden,11,11
2010,italy,2,61,5,9,It32,italy,23,23
2010,italy,2,109,9,5,Sw11,sweden,7,7
2010,italy,2,157,13,1,It41,italy,28,28
2010,italy,2,162,13,6,It24,italy,10,10
2010,italy,2,178,14,9,It15,italy,30,30
2010,italy,2,181,14,12,Sw11,sweden,5,5
2010,italy,2,190,15,8,Sw47,sweden,,0
2010,italy,2,253,20,6,It15,italy,9,9
2010,italy,3,1,1,1,It41,italy,6,6
2010,italy,3,12,1,12,Sw43,sweden,,0
2010,italy,3,26,2,13,Sw43,sweden,,0
2010,italy,3,83,7,5,It41,italy,10,10
2010,italy,3,105,9,1,It24,italy,50,50
2010,italy,3,147,12,4,It41,italy,9,9
2010,italy,3,164,13,8,Sw7,sweden,,0
2010,italy,3,199,16,4,Sw43,sweden,6,6
2010,italy,3,209,17,1,Sw11,sweden,6,6
2010,italy,3,249,20,2,Sw47,sweden,5,5
2010,italy,3,256,20,9,It15,italy,92,92
2010,italy,4,18,2,5,It32,italy,8,8
2010,italy,4,20,2,7,Sw11,sweden,,0
2010,italy,4,23,2,10,Sw7,sweden,2,2
2010,italy,4,24,2,11,Sw47,sweden,,0
2010,italy,4,29,3,3,Sw7,sweden,,0
2010,italy,4,36,3,10,It32,italy,19,19
2010,italy,4,61,5,9,It24,italy,12,12
2010,italy,4,77,6,12,It41,italy,6,6
2010,italy,4,94,8,3,Sw7,sweden,,0
2010,italy,4,101,8,10,Sw47,sweden,7,7
2010,italy,4,120,10,3,Sw47,sweden,4,4
2010,italy,4,158,13,2,It32,italy,,0
2010,italy,4,173,14,4,It15,italy,35,35
2010,italy,4,178,14,9,Sw47,sweden,,0
2010,italy,4,187,15,5,Sw43,sweden,,0
2010,italy,4,210,17,2,It15,italy,34,34
2010,italy,4,243,19,9,Sw43,sweden,,0
2010,italy,4,246,19,12,Sw43,sweden,,0
2010,italy,5,11,1,11,Sw11,sweden,,0
2010,italy,5,15,2,2,Sw11,sweden,2,2
2010,italy,5,36,3,10,It41,italy,18,18
2010,italy,5,57,5,5,It15,italy,16,16
2010,italy,5,68,6,3,Sw11,sweden,,0
2010,italy,5,86,7,8,Sw47,sweden,,0
2010,italy,5,116,9,12,It41,italy,14,14
2010,italy,5,128,10,11,Sw7,sweden,,0
2010,italy,5,129,10,12,It24,italy,17,17
2010,italy,5,142,11,12,It32,italy,14,14
2010,italy,5,153,12,10,It41,italy,26,26
2010,italy,5,211,17,3,Sw47,sweden,,0
2010,italy,5,230,18,9,It41,italy,47,47
2010,italy,5,233,18,12,It41,italy,7,7
2010,italy,5,239,19,5,It15,italy,9,9
2010,italy,5,254,20,7,It15,italy,40,40
2010,italy,6,25,2,12,It32,italy,24,24
2010,italy,6,101,8,10,It32,italy,19,19
2010,italy,6,141,11,11,It15,italy,20,20
2010,italy,6,148,12,5,Sw43,sweden,,0
2010,italy,6,153,12,10,It15,italy,25,25
2010,italy,6,220,17,12,It24,italy,27,27
2010,italy,6,238,19,4,Sw7,sweden,3,3
2010,italy,6,244,19,10,Sw47,sweden,,0
2010,italy,7,27,3,1,It32,italy,20,20
2010,italy,7,37,3,11,It32,italy,57,57
2010,italy,7,45,4,6,It24,italy,8,8
2010,italy,7,109,9,5,It24,italy,,0
2010,italy,7,136,11,6,Sw7,sweden,,0
2010,italy,7,207,16,12,It32,italy,41,41
2010,italy,7,231,18,10,Sw43,sweden,,0
2010,italy,7,235,19,1,It32,italy,104,104
2010,italy,7,260,20,13,It15,italy,8,8
2010,italy,8,41,4,2,Sw7,sweden,,0
2010,italy,8,58,5,6,It24,italy,56,56
2010,italy,8,126,10,9,Sw11,sweden,,0
2010,italy,8,180,14,11,Sw43,sweden,,0
2010,italy,8,184,15,2,It32,italy,15,15
2010,italy,8,210,17,2,Sw43,sweden,,0
2010,italy,8,216,17,8,Sw43,sweden,,0
2010,italy,8,224,18,3,Sw11,sweden,8,8
2010,italy,8,228,18,7,It32,italy,33,33
2010,italy,8,252,20,5,It15,italy,21,21
2010,italy,9,48,4,9,Sw47,sweden,,0
2010,italy,9,58,5,6,Sw7,sweden,3,3
2010,italy,9,74,6,9,Sw43,sweden,3,3
2010,italy,9,108,9,4,Sw11,sweden,6,6
2010,italy,9,122,10,5,Sw11,sweden,,0
2010,italy,9,125,10,8,Sw47,sweden,,0
2010,italy,9,146,12,3,Sw7,sweden,,0
2010,italy,9,147,12,4,Sw11,sweden,,0
2010,italy,9,153,12,10,Sw7,sweden,,0
2010,italy,9,155,12,12,Sw47,sweden,,0
2010,italy,9,156,12,13,It15,italy,32,32
2010,italy,9,165,13,9,Sw43,sweden,,0
2010,italy,9,190,15,8,It32,italy,8,8
2010,italy,9,209,17,1,Sw11,sweden,,0
2010,italy,9,220,17,12,Sw11,sweden,,0
2010,italy,9,260,20,13,It32,italy,28,28
2010,italy,10,15,2,2,It15,italy,9,9
2010,italy,10,64,5,12,Sw7,sweden,,0
2010,italy,10,66,6,1,It32,italy,7,7
2010,italy,10,85,7,7,Sw47,sweden,,0
2010,italy,10,111,9,7,Sw43,sweden,,0
2010,italy,10,137,11,7,It32,italy,8,8
2010,italy,10,155,12,12,Sw7,sweden,,0
2010,italy,10,157,13,1,It15,italy,12,12
2010,italy,10,198,16,3,It24,italy,17,17
2010,italy,10,206,16,11,Sw47,sweden,,0
2010,italy,10,207,16,12,It24,italy,72,72
2010,italy,10,232,18,11,It41,italy,,0
2010,italy,10,240,19,6,Sw7,sweden,,0
2010,italy,10,242,19,8,It24,italy,20,20
2010,italy,11,27,3,1,It41,italy,16,16
2010,italy,11,34,3,8,It41,italy,7,7
2010,italy,11,70,6,5,It24,italy,17,17
2010,italy,11,73,6,8,It24,italy,15,15
2010,italy,11,106,9,2,Sw7,sweden,,0
2010,italy,11,107,9,3,Sw11,sweden,,0
2010,italy,11,130,10,13,Sw7,sweden,,0
2010,italy,11,209,17,1,It24,italy,20,20
2010,italy,11,234,18,13,Sw47,sweden,,0
2010,italy,11,249,20,2,It24,italy,57,57
2010,italy,12,16,2,3,Sw43,sweden,9,9
2010,italy,12,25,2,12,It41,italy,11,11
2010,italy,12,40,4,1,It41,italy,18,18
2010,italy,12,78,6,13,Sw47,sweden,,0
2010,italy,12,84,7,6,Sw47,sweden,,0
2010,italy,12,87,7,9,Sw47,sweden,2,2
2010,italy,12,91,7,13,It41,italy,15,15
2010,italy,12,116,9,12,It24,italy,36,36
2010,italy,12,136,11,6,Sw7,sweden,24,24
2010,italy,12,140,11,10,It24,italy,1,1
2010,italy,12,156,12,13,It24,italy,14,14
2010,italy,12,219,17,11,It24,italy,11,11
2010,italy,12,222,18,1,Sw11,sweden,,0
2010,italy,12,245,19,11,It41,italy,29,29
2010,italy,12,248,20,1,Sw47,sweden,11,11
2010,italy,13,22,2,9,Sw47,sweden,,0
2010,italy,13,55,5,3,It15,italy,12,12
2010,italy,13,83,7,5,Sw47,sweden,8,8
2010,italy,13,97,8,6,It41,italy,11,11
2010,italy,13,104,8,13,It32,italy,20,20
2010,italy,13,135,11,5,It24,italy,8,8
2010,italy,13,159,13,3,Sw11,sweden,,0
2010,italy,13,179,14,10,Sw11,sweden,8,8
2010,italy,13,181,14,12,It15,italy,7,7
2010,italy,13,221,17,13,Sw43,sweden,3,3
2010,italy,14,26,2,13,Sw7,sweden,,0
2010,italy,14,46,4,7,Sw43,sweden,,0
2010,italy,14,59,5,7,It24,italy,226,226
2010,italy,14,76,6,11,It15,italy,144,144
2010,italy,14,86,7,8,It32,italy,25,25
2010,italy,14,91,7,13,Sw11,sweden,,0
2010,italy,14,103,8,12,It41,italy,72,72
2010,italy,14,119,10,2,Sw43,sweden,,0
2010,italy,14,124,10,7,Sw43,sweden,6,6
2010,italy,14,132,11,2,Sw43,sweden,,0
2010,italy,14,196,16,1,It15,italy,110,110
2010,italy,14,218,17,10,It32,italy,133,133
2010,italy,15,73,6,8,Sw11,sweden,,0
2010,italy,15,97,8,6,Sw43,sweden,,0
2010,italy,15,127,10,10,It41,italy,,0
2010,italy,15,158,13,2,It15,italy,108,108
2010,italy,15,163,13,7,Sw7,sweden,,0
2010,italy,15,189,15,7,Sw7,sweden,,0
2010,italy,15,203,16,8,It32,italy,28,28
2010,italy,15,225,18,4,Sw7,sweden,,0
2010,italy,15,228,18,7,Sw11,sweden,,0
2010,italy,15,238,19,4,Sw11,sweden,,0
2010,italy,15,250,20,3,It15,italy,108,108
2010,italy,15,257,20,10,It41,italy,,0
2010,italy,16,11,1,11,Sw11,sweden,,0
2010,italy,16,17,2,4,It41,italy,46,46
2010,italy,16,18,2,5,It32,italy,1,1
2010,italy,16,21,2,8,Sw47,sweden,,0
2010,italy,16,113,9,9,Sw11,sweden,,0
2010,italy,16,117,9,13,Sw47,sweden,,0
2010,italy,16,130,10,13,Sw7,sweden,,0
2010,italy,16,156,12,13,Sw47,sweden,,0
2010,italy,16,207,16,12,Sw11,sweden,,0
2010,italy,17,35,3,9,It41,italy,17,17
2010,italy,17,37,3,11,Sw47,sweden,3,3
2010,italy,17,41,4,2,It32,italy,123,123
2010,italy,17,45,4,6,It15,italy,10,10
2010,italy,17,54,5,2,Sw11,sweden,,0
2010,italy,17,83,7,5,Sw7,sweden,2,2
2010,italy,17,98,8,7,Sw43,sweden,9,9
2010,italy,17,118,10,1,It24,italy,9,9
2010,italy,17,121,10,4,It24,italy,26,26
2010,italy,17,122,10,5,Sw43,sweden,7,7
2010,italy,17,153,12,10,Sw47,sweden,4,4
2010,italy,17,169,13,13,Sw43,sweden,,0
2010,italy,17,183,15,1,It24,italy,46,46
2010,italy,17,195,15,13,It32,italy,8,8
2010,italy,18,14,2,1,Sw11,sweden,2,2
2010,italy,18,36,3,10,Sw7,sweden,,0
2010,italy,18,55,5,3,It15,italy,58,58
2010,italy,18,83,7,5,It41,italy,12,12
2010,italy,18,84,7,6,Sw43,sweden,6,6
2010,italy,18,126,10,9,Sw7,sweden,,0
2010,italy,18,135,11,5,Sw43,sweden,,0
2010,italy,18,154,12,11,It15,italy,7,7
2010,italy,18,165,13,9,Sw47,sweden,3,3
2010,italy,18,166,13,10,Sw43,sweden,4,4
2010,italy,19,12,1,12,Sw11,sweden,,0
2010,italy,19,55,5,3,Sw11,sweden,,0
2010,italy,19,60,5,8,It15,italy,14,14
2010,italy,19,68,6,3,It15,italy,,0
2010,italy,19,94,8,3,Sw43,sweden,,0
2010,italy,19,136,11,6,Sw47,sweden,2,2
2010,italy,19,187,15,5,It15,italy,,0
2010,italy,19,201,16,6,It32,italy,11,11
2010,italy,19,202,16,7,Sw7,sweden,,0
2010,italy,19,210,17,2,Sw7,sweden,,0
2010,italy,19,229,18,8,It24,italy,13,13
2010,italy,19,234,18,13,Sw47,sweden,,0
2010,italy,19,237,19,3,Sw7,sweden,,0
2010,italy,19,249,20,2,Sw7,sweden,,0
2010,italy,20,127,10,10,It15,italy,,0
2010,italy,20,128,10,11,It24,italy,,0
2010,italy,20,141,11,11,It41,italy,,0
2010,italy,20,165,13,9,It41,italy,,0
2010,italy,20,197,16,2,Sw47,sweden,,0
2010,italy,20,223,18,2,Sw7,sweden,2,2
2010,italy,20,224,18,3,Sw43,sweden,,0
2010,italy,20,233,18,12,It24,italy,,0
2010,italy,21,4,1,4,It32,italy,18,18
2010,italy,21,29,3,3,It41,italy,6,6
2010,italy,21,57,5,5,Sw47,sweden,,0
2010,italy,21,67,6,2,It24,italy,11,11
2010,italy,21,99,8,8,Sw11,sweden,,0
2010,italy,21,117,9,13,It24,italy,8,8
2010,italy,21,125,10,8,It41,italy,63,63
2010,italy,21,129,10,12,It32,italy,,0
2010,italy,21,170,14,1,It41,italy,21,21
2010,italy,21,213,17,5,It24,italy,20,20
2010,italy,21,244,19,10,Sw7,sweden,,0
2010,italy,21,248,20,1,It41,italy,,0
2010,italy,22,84,7,6,Sw7,sweden,,0
2010,italy,22,88,7,10,It15,italy,4,4
2010,italy,22,141,11,11,It15,italy,,0
2010,italy,22,150,12,7,Sw11,sweden,,0
2010,italy,22,154,12,11,It32,italy,62,62
2010,italy,22,206,16,11,It41,italy,9,9
2010,italy,22,208,16,13,It15,italy,7,7
2010,italy,22,224,18,3,It32,italy,,0
2010,italy,22,238,19,4,It15,italy,6,6
2010,italy,22,260,20,13,It24,italy,11,11
2010,italy,23,22,2,9,Sw47,sweden,3,3
2010,italy,23,34,3,8,Sw7,sweden,,
2010,italy,23,60,5,8,It24,italy,11,11
2010,italy,23,105,9,1,Sw43,sweden,,0
2010,italy,23,145,12,2,It32,italy,7,7
2010,italy,23,171,14,2,It32,italy,,0
2010,italy,23,217,17,9,Sw7,sweden,,0
2010,italy,23,245,19,11,It24,italy,15,15
2010,italy,23,248,20,1,It41,italy,5,5
2010,italy,23,252,20,5,Sw43,sweden,,0
2010,italy,24,17,2,4,Sw43,sweden,9,9
2010,italy,24,19,2,6,Sw43,sweden,,0
2010,italy,24,31,3,5,It24,italy,35,35
2010,italy,24,36,3,10,Sw11,sweden,,0
2010,italy,24,45,4,6,Sw11,sweden,,0
2010,italy,24,65,5,13,Sw47,sweden,5,5
2010,italy,24,72,6,7,It24,italy,14,14
2010,italy,24,73,6,8,It41,italy,4,4
2010,italy,24,78,6,13,It41,italy,15,15
2010,italy,24,91,7,13,Sw11,sweden,7,7
2010,italy,24,103,8,12,It24,italy,40,40
2010,italy,24,140,11,10,It24,italy,5,5
2010,italy,24,166,13,10,Sw11,sweden,,0
2010,italy,24,204,16,9,Sw47,sweden,3,3
2010,italy,24,211,17,3,Sw47,sweden,4,4
2010,italy,24,248,20,1,It41,italy,81,81
2010,italy,25,26,2,13,It32,italy,,0
2010,italy,25,48,4,9,It32,italy,5,5
2010,italy,25,53,5,1,Sw11,sweden,3,3
2010,italy,25,64,5,12,It15,italy,3,3
2010,italy,25,70,6,5,Sw43,sweden,,0
2010,italy,25,112,9,8,It32,italy,71,71
2010,italy,25,113,9,9,It24,italy,5,5
2010,italy,25,114,9,10,Sw11,sweden,4,4
2010,italy,25,116,9,12,It24,italy,7,7
2010,italy,25,121,10,4,Sw47,sweden,,0
2010,italy,25,141,11,11,Sw11,sweden,,0
2010,italy,25,201,16,6,Sw11,sweden,,0
2010,italy,25,222,18,1,Sw7,sweden,,
2010,italy,26,13,1,13,Sw7,sweden,,0
2010,italy,26,56,5,4,It32,italy,21,21
2010,italy,26,71,6,6,It41,italy,19,19
2010,italy,26,78,6,13,Sw7,sweden,1,1
2010,italy,26,82,7,4,It41,italy,49,49
2010,italy,26,104,8,13,It32,italy,15,15
2010,italy,26,113,9,9,Sw7,sweden,4,4
2010,italy,26,124,10,7,Sw43,sweden,,0
2010,italy,26,133,11,3,It41,italy,1,1
2010,italy,26,149,12,6,It41,italy,,
2010,italy,26,200,16,5,Sw7,sweden,2,2
2010,italy,26,242,19,8,It32,italy,,0
2010,italy,27,14,2,1,It15,italy,11,11
2010,italy,27,40,4,1,Sw7,sweden,,0
2010,italy,27,55,5,3,Sw11,sweden,4,4
2010,italy,27,82,7,4,It24,italy,15,15
2010,italy,27,87,7,9,It32,italy,53,53
2010,italy,27,103,8,12,It24,italy,6,6
2010,italy,27,109,9,5,Sw43,sweden,5,5
2010,italy,27,142,11,12,Sw47,sweden,5,5
2010,italy,27,154,12,11,Sw43,sweden,,0
2010,italy,27,155,12,12,Sw47,sweden,,0
2010,italy,27,172,14,3,It41,italy,,0
2010,italy,27,188,15,6,Sw47,sweden,,0
2010,italy,27,190,15,8,It15,italy,79,79
2010,italy,27,226,18,5,Sw47,sweden,,0
2010,italy,27,230,18,9,It32,italy,105,105
2010,italy,28,7,1,7,Sw47,sweden,4,4
2010,italy,28,68,6,3,It15,italy,6,6
2010,italy,28,71,6,6,It41,italy,10,10
2010,italy,28,114,9,10,Sw43,sweden,3,3
2010,italy,28,124,10,7,It15,italy,46,46
2010,italy,28,126,10,9,It41,italy,11,11
2010,italy,28,137,11,7,Sw11,sweden,2,2
2010,italy,28,144,12,1,Sw43,sweden,2,2
2010,italy,28,146,12,3,It41,italy,,
2010,italy,28,164,13,8,It41,italy,,
2010,italy,28,197,16,2,Sw43,sweden,6,6
2010,italy,28,231,18,10,It24,italy,6,6
2010,italy,29,14,2,1,Sw11,sweden,,0
2010,italy,29,27,3,1,It24,italy,10,10
2010,italy,29,30,3,4,Sw7,sweden,,0
2010,italy,29,48,4,9,Sw11,sweden,4,4
2010,italy,29,52,4,13,It15,italy,38,38
2010,italy,29,66,6,1,It32,italy,15,15
2010,italy,29,71,6,6,It15,italy,17,17
2010,italy,29,172,14,3,Sw47,sweden,,0
2010,italy,29,230,18,9,Sw43,sweden,,0
2010,italy,29,231,18,10,It32,italy,13,13
2010,italy,29,235,19,1,It15,italy,,0
2010,italy,29,240,19,6,Sw11,sweden,8,8
2010,italy,29,242,19,8,It32,italy,7,7
2010,italy,30,28,3,2,Sw7,sweden,,
2010,italy,30,43,4,4,Sw43,sweden,15,15
2010,italy,30,55,5,3,Sw43,sweden,5,5
2010,italy,30,66,6,1,Sw47,sweden,,0
2010,italy,30,72,6,7,It32,italy,,
2010,italy,30,79,7,1,Sw7,sweden,,0
2010,italy,30,95,8,4,It15,italy,17,17
2010,italy,30,107,9,3,It32,italy,10,10
2010,italy,30,139,11,9,It15,italy,,0
2010,italy,30,165,13,9,Sw7,sweden,,0
2010,italy,30,171,14,2,It15,italy,74,74
2010,italy,30,183,15,1,Sw47,sweden,,0
2010,sweden,1,35,3,9,Sw47,sweden,,0
2010,sweden,1,164,13,8,It24,italy,,0
2010,sweden,1,176,14,7,Sw7,sweden,,0
2010,sweden,1,214,17,6,It41,italy,,0
2010,sweden,1,240,19,6,It24,italy,25,25
2010,sweden,2,1,1,1,Sw11,sweden,,0
2010,sweden,2,29,3,3,Sw43,sweden,,0
2010,sweden,2,51,4,12,It41,italy,,0
2010,sweden,2,59,5,7,Sw7,sweden,,0
2010,sweden,2,77,6,12,It32,italy,,0
2010,sweden,2,80,7,2,Sw43,sweden,35,35
2010,sweden,2,157,13,1,It24,italy,35,35
2010,sweden,2,187,15,5,It24,italy,,0
2010,sweden,2,204,16,9,It15,italy,43,43
2010,sweden,2,235,19,1,It24,italy,,0
2010,sweden,2,241,19,7,It24,italy,32,32
2010,sweden,2,243,19,9,It24,italy,25,25
2010,sweden,2,259,20,12,Sw7,sweden,33,33
2010,sweden,3,19,2,6,It41,italy,,0
2010,sweden,3,23,2,10,It24,italy,,0
2010,sweden,3,44,4,5,It15,italy,,0
2010,sweden,3,53,5,1,It32,italy,,0
2010,sweden,3,57,5,5,It41,italy,,0
2010,sweden,3,69,6,4,It15,italy,,0
2010,sweden,3,88,7,10,Sw47,sweden,27,27
2010,sweden,3,157,13,1,It24,italy,,0
2010,sweden,3,163,13,7,Sw47,sweden,,0
2010,sweden,3,169,13,13,It32,italy,,0
2010,sweden,3,207,16,12,It24,italy,,0
2010,sweden,3,212,17,4,Sw43,sweden,24,24
2010,sweden,3,231,18,10,It24,italy,51,51
2010,sweden,3,256,20,9,It41,italy,37,37
2010,sweden,3,258,20,11,Sw43,sweden,19,19
2010,sweden,4,28,3,2,Sw47,sweden,,0
2010,sweden,4,36,3,10,It41,italy,,0
2010,sweden,4,42,4,3,It32,italy,,0
2010,sweden,4,73,6,8,It15,italy,,0
2010,sweden,4,102,8,11,Sw7,sweden,,0
2010,sweden,4,106,9,2,It41,italy,29,29
2010,sweden,4,137,11,7,It41,italy,34,34
2010,sweden,4,146,12,3,It15,italy,,0
2010,sweden,4,228,18,7,Sw47,sweden,28,28
2010,sweden,4,237,19,3,Sw11,sweden,32,32
2010,sweden,5,8,1,8,It15,italy,54,54
2010,sweden,5,21,2,8,Sw7,sweden,,0
2010,sweden,5,55,5,3,It32,italy,,0
2010,sweden,5,71,6,6,It15,italy,,0
2010,sweden,5,90,7,12,Sw43,sweden,,0
2010,sweden,5,95,8,4,Sw11,sweden,,0
2010,sweden,5,121,10,4,Sw43,sweden,18,18
2010,sweden,5,126,10,9,It24,italy,21,21
2010,sweden,5,161,13,5,It15,italy,30,30
2010,sweden,5,190,15,8,Sw11,sweden,19,19
2010,sweden,5,197,16,2,Sw11,sweden,27,27
2010,sweden,5,217,17,9,It24,italy,34,34
2010,sweden,5,220,17,12,Sw43,sweden,33,33
2010,sweden,6,14,2,1,Sw43,sweden,,0
2010,sweden,6,39,3,13,Sw43,sweden,,0
2010,sweden,6,88,7,10,It41,italy,27,27
2010,sweden,6,127,10,10,Sw11,sweden,27,27
2010,sweden,6,153,12,10,It41,italy,45,45
2010,sweden,6,231,18,10,Sw47,sweden,64,64
2010,sweden,6,252,20,5,It15,italy,28,28
2010,sweden,7,37,3,11,Sw47,sweden,,0
2010,sweden,7,62,5,10,It32,italy,,0
2010,sweden,7,64,5,12,It15,italy,,0
2010,sweden,7,100,8,9,Sw11,sweden,,0
2010,sweden,7,107,9,3,Sw43,sweden,34,34
2010,sweden,7,120,10,3,It32,italy,34,34
2010,sweden,7,196,16,1,Sw47,sweden,81,81
2010,sweden,7,202,16,7,It32,italy,34,34
2010,sweden,7,222,18,1,Sw7,sweden,,0
2010,sweden,7,233,18,12,Sw47,sweden,41,41
2010,sweden,8,8,1,8,It15,italy,,0
2010,sweden,8,11,1,11,It24,italy,,0
2010,sweden,8,36,3,10,It15,italy,,0
2010,sweden,8,39,3,13,It41,italy,,0
2010,sweden,8,55,5,3,Sw47,sweden,,0
2010,sweden,8,73,6,8,It15,italy,45,45
2010,sweden,8,99,8,8,Sw11,sweden,49,49
2010,sweden,8,100,8,9,It41,italy,35,35
2010,sweden,8,124,10,7,It32,italy,41,41
2010,sweden,8,154,12,11,Sw7,sweden,45,45
2010,sweden,8,173,14,4,Sw7,sweden,40,40
2010,sweden,8,179,14,10,Sw43,sweden,52,52
2010,sweden,8,183,15,1,Sw47,sweden,45,45
2010,sweden,8,193,15,11,It15,italy,33,33
2010,sweden,8,201,16,6,It24,italy,35,35
2010,sweden,8,229,18,8,Sw11,sweden,26,26
2010,sweden,8,249,20,2,Sw7,sweden,44,44
2010,sweden,9,53,5,1,Sw47,sweden,,0
2010,sweden,9,67,6,2,Sw7,sweden,53,53
2010,sweden,9,93,8,2,It24,italy,23,23
2010,sweden,9,110,9,6,It24,italy,35,35
2010,sweden,9,116,9,12,Sw47,sweden,38,38
2010,sweden,9,135,11,5,It41,italy,27,27
2010,sweden,9,180,14,11,Sw7,sweden,48,48
2010,sweden,9,208,16,13,Sw11,sweden,52,52
2010,sweden,9,212,17,4,It24,italy,35,35
2010,sweden,9,251,20,4,It24,italy,,0
2010,sweden,10,21,2,8,Sw47,sweden,,0
2010,sweden,10,46,4,7,Sw11,sweden,,0
2010,sweden,10,64,5,12,It32,italy,,0
2010,sweden,10,66,6,1,It15,italy,,0
2010,sweden,10,77,6,12,Sw43,sweden,,0
2010,sweden,10,79,7,1,It24,italy,54,54
2010,sweden,10,107,9,3,Sw7,sweden,25,25
2010,sweden,10,140,11,10,Sw47,sweden,41,41
2010,sweden,10,154,12,11,It15,italy,39,39
2010,sweden,10,155,12,12,Sw47,sweden,30,30
2010,sweden,10,161,13,5,Sw7,sweden,51,51
2010,sweden,10,169,13,13,Sw11,sweden,23,23
2010,sweden,10,199,16,4,Sw7,sweden,,0
2010,sweden,10,202,16,7,Sw47,sweden,43,43
2010,sweden,10,250,20,3,It41,italy,27,27
2010,sweden,10,255,20,8,It32,italy,33,33
2010,sweden,10,257,20,10,It24,italy,7,7
2010,sweden,10,260,20,13,Sw47,sweden,48,48
2010,sweden,11,16,2,3,Sw11,sweden,,0
2010,sweden,11,78,6,13,It32,italy,31,31
2010,sweden,11,87,7,9,Sw47,sweden,26,26
2010,sweden,11,111,9,7,Sw7,sweden,37,37
