id,F09_IT_Surv_noedge_mean,F09_SW_Surv_noedge_mean,F10_IT_Surv_noedge_mean,F10_SW_Surv_noedge_mean,F11_IT_Surv_noedge_mean,F11_SW_Surv_noedge_mean,F09_IT_NFrFrPr_noedge_mean,F09_SW_NFrFrPr_noedge_mean,F10_IT_NFrFrPr_noedge_mean,F10_SW_NFrFrPr_noedge_mean,F11_IT_NFrFrPr_noedge_mean,F11_SW_NFrFrPr_noedge_mean
3,0.875,1,0.777777778,0.388888889,0.833333333,0.5,14.64285714,11.82352941,17.85714286,45.85714286,13.46666667,33.66666667
6,1,0.642857143,0.888888889,0.611111111,0.888888889,0.277777778,23,8.333333333,19.5,27.90909091,16.1875,11.2
7,1,0.611111111,0.944444444,0.444444444,0.944444444,0.333333333,15.82352941,6.636363636,17.29411765,42.5,17.94117647,10.66666667
8,1,0.8125,0.944444444,0.833333333,0.944444444,0.166666667,21,8.230769231,18,49.66666667,15,13.66666667
11,0.944444444,0.947368421,0.823529412,0.777777778,1,0.555555556,13.41176471,14.22222222,16.64285714,40.85714286,12.38888889,44.5
13,0.941176471,0.875,0.611111111,0.444444444,0.5,0.611111111,15.6875,8.071428571,5.545454546,41.125,5.222222222,37
14,0.947368421,0.555555556,0.888888889,0.555555556,0.833333333,0.166666667,24.38888889,7.2,19.1875,30.8,14.6,14.33333333
16,0.882352941,0.941176471,0.823529412,0.444444444,0.777777778,0.333333333,19.2,13.5625,16.92857143,47.75,12.5,22.5
23,1,1,0.705882353,0.5,0.888888889,0.333333333,11.26315789,11.11111111,13,60.77777778,10,12
24,1,0.9375,0.888888889,0.611111111,0.833333333,0.444444444,13.25,11,9.125,38.18181818,12.06666667,23.125
25,1,1,0.833333333,0.722222222,0.833333333,0.555555556,14.66666667,12.1875,11.93333333,33.61538462,9.6,32.1
26,1,0.7,0.944444444,0.388888889,0.888888889,0.166666667,18.05882353,8.5,24.58823529,43.85714286,15.75,20.66666667
28,1,1,0.888888889,0.611111111,0.944444444,0.444444444,15.76923077,12.88235294,14.25,51.81818182,11.64705882,24
29,1,0.9375,0.222222222,0.611111111,0.666666667,0.555555556,13,12.2,6,52.36363636,10.75,22.8
30,1,0.9375,0.777777778,0.444444444,1,0.388888889,11.1875,13.4,13.35714286,57.5,11,19.85714286
31,1,1,0.722222222,0.5,0.722222222,0.222222222,18.0625,11.26315789,14.33333333,65.88888889,10.07692308,22.75
32,0.882352941,0.666666667,0.666666667,0.555555556,0.944444444,0.277777778,16.93333333,8.25,8.916666667,20.8,18.70588235,29
34,1,0.947368421,0.833333333,0.666666667,0.833333333,0.444444444,12.29411765,15.44444444,16.92857143,47.58333333,7.666666667,13.875
35,0.842105263,0.75,0.833333333,0.5,0.777777778,0.777777778,18.25,7.5,12.2,55.33333333,10.14285714,28.92857143
36,0.846153846,1,0.777777778,0.555555556,1,0.444444444,13.72727273,13.82352941,13.28571429,46.6,13.27777778,48.375
39,1,0.947368421,0.5,0.333333333,0.722222222,0.555555556,12.4375,13.72222222,10.22222222,44.66666667,11.23076923,41.2
40,1,1,0.666666667,0.722222222,0.777777778,0.666666667,14.72222222,13.4375,15.33333333,48.15384615,8.642857143,23.66666667
41,0.8125,1,0.611111111,0.5,0.666666667,0.5,13.53846154,13.05263158,13.18181818,49.55555556,7.75,40.77777778
42,1,1,0.888888889,0.666666667,0.888888889,0.444444444,15.27777778,10.29411765,12.6875,120.0833333,9.6875,11.25
46,1,0.944444444,0.777777778,0.333333333,0.888888889,0.666666667,9.35,10.23529412,9.5,39,7.8125,21.16666667
47,1,1,0.888888889,0.611111111,0.888888889,0.222222222,15.3125,14,20.375,59.27272727,9.4375,15
48,1,0.9375,0.764705882,0.5,0.888888889,0.388888889,14.82352941,13.73333333,20.30769231,54.11111111,11.625,21
50,1,0.8125,0.823529412,0.388888889,0.888888889,0.277777778,19.70588235,9.076923077,21.28571429,42.42857143,19.0625,15
51,1,1,0.611111111,0.722222222,1,0.222222222,14.23076923,11.8125,6.545454546,79.53846154,10.38888889,23.5
52,1,1,0.764705882,0.611111111,0.777777778,0.222222222,13.70588235,9.111111111,8.384615385,44,13.35714286,11.75
53,0.888888889,1,0.611111111,0.444444444,1,0.555555556,12.75,11.23529412,11.90909091,54.75,12.55555556,27.2
58,1,1,0.666666667,0.444444444,0.833333333,0.611111111,10.9375,10.86666667,8.166666667,30.25,10.93333333,24.90909091
59,0.933333333,0.944444444,0.444444444,0.444444444,0.555555556,0.611111111,7.071428571,8.529411765,6.5,34.625,6.9,20.63636364
60,0.941176471,0.947368421,0.611111111,0.444444444,0.722222222,0.555555556,15.875,17.83333333,24.36363636,70.75,11.76923077,36.2
61,1,1,0.777777778,0.611111111,1,0.444444444,13.15789474,13.52941176,11.42857143,84.54545455,13.11111111,27.125
64,1,1,0.722222222,0.555555556,0.777777778,0.444444444,14.6875,16.21428571,4.916666667,47.3,7.357142857,8.625
67,1,1,0.833333333,0.722222222,1,0.444444444,17.5,14.57894737,9.533333333,50.30769231,10.33333333,14.875
68,0.833333333,0.909090909,0.722222222,0.611111111,0.944444444,0.611111111,8.8,12.3,12.61538462,32.54545455,10.23529412,52.54545455
69,0.933333333,1,0.777777778,0.333333333,0.888888889,0.555555556,12.42857143,17.94117647,9.857142857,48.33333333,8.75,21.7
70,1,1,0.611111111,0.666666667,0.888888889,0.333333333,13.875,12.1875,9.727272727,37.5,11.4375,20.33333333
72,0.894736842,0.947368421,0.833333333,0.444444444,0.944444444,0.611111111,11.23529412,8.833333333,15.8,54.25,11.82352941,23.18181818
74,1,1,0.555555556,0.611111111,0.777777778,0.333333333,10.88888889,10.5,14.7,55.09090909,8.428571429,7.666666667
75,1,0.944444444,0.666666667,0.5,0.888888889,0.444444444,15.33333333,13.58823529,16.58333333,38.55555556,15.1875,29
78,1,0.944444444,0.666666667,0.722222222,0.833333333,0.555555556,14.16666667,12.64705882,20.83333333,67,13.8,14.9
84,0.941176471,1,0.555555556,0.722222222,0.722222222,0.611111111,9.9375,12.25,8,42.38461539,6.461538462,21.81818182
85,1,1,0.529411765,0.388888889,0.833333333,0.5,10.2,11.16666667,19,47.85714286,9.933333333,28.44444444
87,1,1,0.722222222,0.5,0.833333333,0.444444444,14.35294118,9.588235294,10.84615385,36.88888889,18.46666667,27.25
88,0.941176471,1,0.833333333,0.722222222,0.888888889,0.5,20.125,10.94444444,21.8,72.38461539,18.6875,15.33333333
89,1,1,0.833333333,0.666666667,0.888888889,0.5,13.375,10.70588235,14.13333333,40.41666667,10.625,24
90,0.833333333,0.941176471,0.666666667,0.444444444,0.833333333,0.444444444,10.33333333,12.25,14.66666667,51.75,8.866666667,12.5
91,0.941176471,0.944444444,0.555555556,0.611111111,0.944444444,0.444444444,9.875,12.70588235,8.8,52.63636364,8.352941176,8.25
92,1,1,0.611111111,0.722222222,0.833333333,0.555555556,11.75,13.85714286,11.63636364,59,9.733333333,31.9
99,0.9375,0.941176471,0.5,0.277777778,0.944444444,0.277777778,12.93333333,11.4375,10.66666667,44.2,9.235294118,15.4
100,0.923076923,0.923076923,0.833333333,0.444444444,0.888888889,0.444444444,16.33333333,16.25,13.26666667,35.375,9.75,17.75
103,0.736842105,0.9375,0.555555556,0.555555556,0.666666667,0.611111111,11.92857143,7,7.4,34.8,6.75,15.90909091
104,1,1,0.444444444,0.444444444,0.888888889,0.666666667,10,9.333333333,8.25,38.375,8,14
105,0.9375,0.95,0.722222222,0.666666667,0.666666667,0.777777778,14.13333333,11.26315789,16.92307692,51,9.583333333,26.71428571
106,0.8125,1,0.555555556,0.666666667,0.611111111,0.611111111,9.384615385,12.26666667,14,41.83333333,8.727272727,17.27272727
108,1,1,0.833333333,0.333333333,0.722222222,0.666666667,14.25,11.58823529,12.33333333,35.16666667,11.92307692,17.08333333
109,1,1,0.5,0.611111111,0.944444444,0.333333333,16.47058824,10.61111111,20.33333333,44.81818182,14.88235294,31.5
110,0.941176471,0.894736842,0.882352941,0.333333333,1,0.611111111,13.75,12.47058824,16.26666667,56,13.16666667,32
111,1,0.875,0.777777778,0.388888889,0.944444444,0.333333333,14,9.571428571,10.71428571,46.71428571,14.23529412,22
114,0.9375,1,0.944444444,0.444444444,0.777777778,0.777777778,12,12.13333333,15.35294118,62.875,11.71428571,21.85714286
115,1,1,0.647058824,0.5,1,0.611111111,11.94736842,10.94736842,10.09090909,36.66666667,9.166666667,19.63636364
116,0.941176471,0.941176471,0.833333333,0.444444444,0.888888889,0.555555556,14.875,9.8125,10.13333333,33.875,12.75,19.8
120,1,0.941176471,0.666666667,0.555555556,0.888888889,0.611111111,13.11764706,15.5625,19.58333333,43.9,12.125,21.90909091
123,0.9375,0.947368421,0.222222222,0.722222222,0.944444444,0.611111111,9.333333333,8.777777778,6,45.61538462,9.470588235,27.45454545
124,0.888888889,1,0.611111111,0.333333333,0.722222222,0.388888889,13.1875,11.73684211,5.454545455,53.33333333,9.076923077,10.85714286
126,0.941176471,1,0.611111111,0.333333333,0.944444444,0.555555556,19.3125,11.22222222,11,41.16666667,14.47058824,34.5
127,0.947368421,1,0.625,0.333333333,0.611111111,0.666666667,13.66666667,9.444444444,10.8,32.83333333,9,20.25
128,0.888888889,1,0.352941177,0.5,0.888888889,0.333333333,12.75,10.66666667,10,35.11111111,11.0625,13.83333333
129,1,1,0.666666667,0.555555556,0.888888889,0.388888889,13.64705882,10.78947368,8,34.9,8.125,11.85714286
130,0.9375,1,0.823529412,0.444444444,0.888888889,0.444444444,14.86666667,10.375,6.857142857,37.5,9.1875,12.875
132,0.947368421,1,0.611111111,0.611111111,0.888888889,0.5,14.94444444,12,9.090909091,69.27272727,9.1875,21.88888889
134,1,1,0.722222222,0.388888889,0.888888889,0.444444444,11.4375,7.529411765,8.923076923,18.14285714,9.125,16.875
136,1,1,0.611111111,0.444444444,0.777777778,0.611111111,12.23529412,14.38888889,8.909090909,58.375,7.642857143,28.09090909
137,0.944444444,1,0.666666667,0.5,0.888888889,0.5,10.23529412,10.88888889,9.333333333,31.77777778,8.75,35.33333333
140,0.941176471,1,0.722222222,0.388888889,0.888888889,0.444444444,16.3125,11.46666667,21.08333333,56.28571429,12.375,23.375
141,1,1,0.647058824,0.444444444,0.833333333,0.388888889,15.11764706,11.4,6.636363636,40.42857143,8.666666667,19.14285714
143,0.9375,1,0.888888889,0.5,0.777777778,0.5,16.8,11.94117647,12,39.77777778,12.92857143,21
144,0.9375,1,0.444444444,0.555555556,0.888888889,0.555555556,9.533333333,11.38888889,12.375,41.8,6.625,40.1
145,0.866666667,1,0.555555556,0.555555556,0.555555556,0.5,8.846153846,9.529411765,4.9,42.6,6,26.33333333
146,1,1,0.722222222,0.5,1,0.444444444,16.41176471,11.73684211,14.84615385,84.22222222,18.44444444,21.75
148,1,1,0.555555556,0.5,0.833333333,0.555555556,11.375,14.07142857,5.7,54.44444444,6.6,39.8
149,0.944444444,0.933333333,0.555555556,0.444444444,1,0.5,15.82352941,9.071428571,21,45.25,16.16666667,16.77777778
150,0.941176471,1,0.666666667,0.722222222,0.944444444,0.611111111,13.625,9.625,12.16666667,38.53846154,11.23529412,22.18181818
152,0.941176471,1,0.764705882,0.555555556,0.888888889,0.333333333,14.6875,8.470588235,18,39.8,14,30.66666667
154,0.944444444,0.941176471,0.555555556,0.5,0.722222222,0.722222222,10.41176471,10.6875,6.3,61.22222222,10.61538462,27.46153846
157,1,1,0.777777778,0.555555556,0.888888889,0.555555556,14.5,13.3125,14.64285714,58.2,12.9375,26.7
158,1,1,0.722222222,0.444444444,0.944444444,0.555555556,12.76470588,13.82352941,11.07692308,50.125,5.352941176,28.9
159,0.9375,1,0.888888889,0.611111111,0.833333333,0.444444444,11.86666667,8.4,14.125,48.36363636,10.86666667,24.5
160,1,1,0.722222222,0.722222222,0.888888889,0.555555556,12.8125,12.83333333,10.61538462,44.69230769,10.625,19.3
163,1,1,0.705882353,0.555555556,0.944444444,0.444444444,12.5,12.05882353,25.25,62.9,10.58823529,21.125
165,0.928571429,1,0.705882353,0.222222222,0.722222222,0.833333333,11.23076923,11.2,8.75,47.75,13.69230769,41.06666667
167,,,0.388888889,0.444444444,0.833333333,0.333333333,,,4.285714286,48.25,9.533333333,12.33333333
169,0.947368421,0.941176471,0.647058824,0.388888889,0.555555556,0.444444444,12.38888889,9.1875,11.72727273,52.85714286,6.6,24.625
170,1,1,0.944444444,0.388888889,0.722222222,0.722222222,16.55555556,15.11764706,13.88235294,47,10.76923077,43.84615385
171,0.941176471,1,0.5625,0.5,0.722222222,0.611111111,11.6875,17.6875,19.66666667,50.66666667,13.69230769,23.27272727
173,0.888888889,0.944444444,0.611111111,0.388888889,0.833333333,0.444444444,10.75,10.76470588,7.727272727,44,8.066666667,39.875
174,1,1,0.588235294,0.388888889,0.777777778,0.444444444,15.94117647,11.58823529,10.6,50.14285714,16.92857143,29.875
175,0.933333333,0.8125,0.722222222,0.5,1,0.166666667,18.78571429,9.692307692,7,38.44444444,12.88888889,8.666666667
176,0.933333333,1,0.294117647,0.777777778,0.833333333,0.555555556,9.285714286,10.58823529,6.4,32.35714286,6.266666667,24.5
179,1,1,0.555555556,0.611111111,0.722222222,0.388888889,11.26315789,12.3125,9.7,41.54545455,13.38461538,11.85714286
181,0.888888889,1,0.722222222,0.611111111,0.777777778,0.277777778,12.25,14.28571429,6.461538462,31.27272727,8.571428571,11
182,0.888888889,1,0.722222222,0.5,0.888888889,0.666666667,11.4375,15.77777778,18.69230769,66.44444444,17.125,31.41666667
184,0.888888889,0.928571429,,,0.722222222,0.611111111,7.3125,8.692307692,,,7.692307692,26.54545455
186,1,1,,,0.722222222,0.777777778,12.94117647,11.68421053,,,7.538461538,23.64285714
187,1,1,0.722222222,0.444444444,0.722222222,0.444444444,10.625,11.5,6.615384615,49.875,7.769230769,14.75
188,1,1,0.444444444,0.666666667,0.722222222,0.444444444,6.9375,11.66666667,6.375,36.27272727,7.230769231,37.5
189,0.941176471,1,0.833333333,0.444444444,0.666666667,0.5,15.0625,13,17.53333333,52.75,16.58333333,37.11111111
190,0.941176471,1,0.666666667,0.555555556,0.777777778,0.611111111,14.0625,11.89473684,16.91666667,48.9,9,33.72727273
191,1,1,0.777777778,0.388888889,0.833333333,0.388888889,16.05555556,11.38888889,17.07142857,55.85714286,9.2,15.28571429
192,1,0.875,0.666666667,0.388888889,0.944444444,0.444444444,17.75,12.71428571,16.75,53.14285714,10.11764706,33.375
194,0.947368421,1,0.611111111,0.5,0.666666667,0.833333333,12.11111111,12.8125,15.63636364,49.77777778,7.833333333,24.13333333
195,1,1,0.944444444,0.5,0.944444444,0.555555556,16.22222222,8.357142857,14.58823529,62.11111111,15.58823529,44.7
196,0.882352941,0.923076923,0.888888889,0.611111111,0.777777778,0.888888889,13.93333333,11.16666667,23.0625,44.72727273,18.92857143,29
197,0.9375,1,0.666666667,0.722222222,0.833333333,0.166666667,22.33333333,12,15.5,39.30769231,14.86666667,13.33333333
198,0.8125,1,0.722222222,0.611111111,0.666666667,0.555555556,10.38461538,11.4,7.25,45.09090909,7.583333333,15.6
199,1,1,0.75,0.5,0.777777778,0.722222222,13.11764706,10.29411765,17.83333333,81.88888889,8.571428571,33.38461538
200,0.928571429,1,0.444444444,0.444444444,0.666666667,0.555555556,9.692307692,12.125,8.25,45.625,7.916666667,16
202,0.894736842,0.944444444,0.444444444,0.5,0.777777778,0.555555556,10.58823529,10.70588235,9.875,48,7.142857143,22.1
203,0.941176471,0.944444444,0.666666667,0.444444444,0.888888889,0.388888889,14.375,11.23529412,10.27272727,36.25,12.8,19
205,0.894736842,0.941176471,0.611111111,0.5,0.833333333,0.611111111,9.058823529,10,8.363636364,64.55555556,6.733333333,36.36363636
206,0.823529412,1,0.529411765,0.388888889,1,0.611111111,10.85714286,11.05555556,5.666666667,36.42857143,7.833333333,27.27272727
207,1,1,0.5,0.666666667,0.555555556,0.388888889,13.0625,11.61111111,12,66.83333333,8.6,7.571428571
208,0.875,1,0.611111111,0.666666667,0.777777778,0.666666667,10.42857143,13.72222222,14.9,68.83333333,7.357142857,36.5
209,1,0.944444444,0.6875,0.333333333,0.888888889,0.444444444,14.57894737,12.76470588,25.81818182,48.66666667,8.5,33.625
210,1,1,0.611111111,0.666666667,0.888888889,0.555555556,9.533333333,13.23529412,12.90909091,57.25,8.3125,35.5
212,0.928571429,1,0.555555556,0.444444444,0.555555556,0.5,15.84615385,11.83333333,16.4,70.875,9.5,13.55555556
214,1,0.941176471,0.666666667,0.555555556,0.888888889,0.333333333,13.31578947,12.625,10.16666667,52.9,8.733333333,8.666666667
216,1,0.9375,0.555555556,0.666666667,0.777777778,0.277777778,11.25,8.866666667,11,54.08333333,13,14.8
218,0.9375,1,0.833333333,0.611111111,0.833333333,0.5,13,9.823529412,9.066666667,30.81818182,5.866666667,18
219,0.875,0.933333333,0.444444444,0.277777778,0.611111111,0.555555556,8.571428571,10.28571429,4.25,52.6,7.909090909,10.4
220,1,1,0.833333333,0.5,0.888888889,0.222222222,14.15789474,12.73333333,11.93333333,32.11111111,11,15.75
222,0.933333333,1,0.470588235,0.5,0.722222222,0.388888889,13.14285714,8.25,17,30.33333333,13.84615385,38.14285714
223,1,1,0.444444444,0.388888889,0.888888889,0.555555556,8.4,13.10526316,5.5,51.57142857,8.1875,20.4
224,0.9375,0.933333333,0.692307692,0.5,0.888888889,0.444444444,13.6,14.07142857,13.88888889,51.22222222,6.5,28.125
225,0.894736842,1,0.444444444,0.444444444,0.611111111,0.555555556,9.764705882,12.86666667,13,52.125,8.727272727,19.3
226,0.941176471,0.888888889,0.611111111,0.611111111,0.888888889,0.777777778,10.375,10.625,13.54545455,55.72727273,9.1875,46.14285714
227,1,0.944444444,0.5,0.388888889,0.833333333,0.666666667,8.2,7.352941176,10.33333333,38.42857143,8.666666667,19.75
228,1,1,0.388888889,0.555555556,0.833333333,0.666666667,12.52941176,9.176470588,12.14285714,40.8,11.73333333,33.16666667
230,0.95,1,0.555555556,0.5,0.888888889,0.444444444,13.42105263,12.17647059,7.6,37.33333333,8.75,19.75
232,0.888888889,1,0.666666667,0.722222222,0.777777778,0.611111111,8.5,10.77777778,11.33333333,48.23076923,10.14285714,13.81818182
234,0.941176471,0.944444444,0.5,0.555555556,0.833333333,0.5,17.8125,10.23529412,11.22222222,60.1,14.66666667,20.66666667
236,0.888888889,1,0.777777778,0.555555556,0.833333333,0.444444444,11.875,9.736842105,17.64285714,36.3,12.46666667,7.25
237,1,1,0.611111111,0.388888889,0.722222222,0.611111111,9.833333333,9.411764706,17.90909091,32.42857143,9.692307692,19.90909091
239,0.947368421,0.9375,0.5,0.555555556,0.944444444,0.555555556,15.5,9.666666667,18.88888889,44.8,10.58823529,27.2
240,1,1,0.666666667,0.611111111,1,0.611111111,10.5,11.88888889,6.166666667,33.81818182,9.222222222,13.09090909
241,1,1,0.5,0.444444444,0.888888889,0.388888889,11.41176471,15.8,16.22222222,49.875,12.8125,35.28571429
242,0.947368421,1,0.555555556,0.5,0.777777778,0.666666667,7.944444444,10.77777778,5.5,40.88888889,5,27.58333333
243,0.933333333,1,0.388888889,0.388888889,0.777777778,0.777777778,7.357142857,10.27777778,4.5,21.57142857,7.5,31.5
245,0.894736842,1,0.5,0.277777778,0.5,0.666666667,7.352941176,12.2,3.444444444,54.4,4.777777778,23.33333333
246,0.933333333,1,0.722222222,0.555555556,0.888888889,0.444444444,12.28571429,13,12.61538462,48.7,10.4375,51.25
247,0.941176471,1,0.5,0.5,0.611111111,0.833333333,10.0625,10.55555556,8.444444444,72.44444444,7.454545455,59.8
249,1,0.875,0.611111111,0.666666667,0.888888889,0.555555556,8.75,8.642857143,8.363636364,35.5,5.1875,39.1
251,0.933333333,1,0.555555556,0.611111111,0.777777778,0.444444444,8.571428571,12.5,9.8,38.36363636,7.785714286,14.125
253,,,0.666666667,0.5,0.944444444,0.611111111,,,13.25,70.55555556,12.64705882,36.54545455
254,,,0.666666667,0.388888889,0.944444444,0.611111111,,,11.83333333,32.85714286,8.588235294,24.09090909
256,1,1,0.666666667,0.444444444,0.888888889,0.444444444,10.5,9.277777778,19.16666667,37.375,10.0625,35
259,1,1,0.529411765,0.722222222,0.833333333,0.333333333,14.6,10.05882353,6.888888889,43.76923077,12.4,7.166666667
260,0.9375,1,0.444444444,0.5,0.555555556,0.777777778,6.466666667,8.823529412,9.25,39.66666667,6.4,22.28571429
262,0.933333333,1,0.666666667,0.444444444,0.722222222,0.611111111,11.07142857,14.30769231,6.909090909,50.5,8.846153846,14.54545455
263,1,1,0.5,0.444444444,0.888888889,0.5,10.93333333,9.8,6.222222222,31.375,6.375,45.66666667
264,0.944444444,1,0.555555556,0.555555556,0.888888889,0.555555556,10.82352941,17.35,7.9,44.3,8.9375,21.2
266,1,0.888888889,0.555555556,0.388888889,0.833333333,0.611111111,9.470588235,9.125,10.5,48.14285714,7.8,17.72727273
267,0.888888889,1,0.611111111,0.444444444,0.611111111,0.666666667,7.1875,12,4.454545455,39.75,5.181818182,20.41666667
268,1,0.944444444,0.944444444,0.555555556,1,0.333333333,14.5,12.23529412,13.35294118,44.6,17.27777778,13.5
270,0.823529412,1,0.833333333,0.611111111,0.833333333,0.666666667,10.71428571,7.625,9.2,40.72727273,7.133333333,14.91666667
272,1,0.777777778,0.647058824,0.611111111,0.888888889,0.388888889,15.64285714,8,21.90909091,32.18181818,14.5625,11.28571429
273,0.888888889,0.944444444,0.555555556,0.444444444,0.888888889,0.444444444,9.625,8.352941176,6.2,44.25,7.5,18.25
275,0.944444444,1,0.555555556,0.611111111,0.944444444,0.722222222,10.58823529,12.94117647,11.4,41.27272727,9.764705882,17.84615385
279,1,1,0.666666667,0.666666667,0.944444444,0.5,14.10526316,16.53333333,11.83333333,49.58333333,13.29411765,37.77777778
281,1,0.947368421,0.722222222,0.388888889,0.611111111,0.5,8.4,9.944444444,8.692307692,38.42857143,3.090909091,25.77777778
282,1,0.947368421,0.5,0.611111111,0.666666667,0.611111111,10,8.944444444,7.444444444,46.09090909,6.416666667,25.27272727
284,1,0.866666667,0.722222222,0.555555556,0.833333333,0.666666667,11.11764706,11.76923077,10.76923077,43.7,10.86666667,37.83333333
285,1,0.947368421,0.647058824,0.555555556,0.888888889,0.611111111,13,8.888888889,11.27272727,36.8,9.1875,31.09090909
289,1,1,0.666666667,0.5,0.888888889,0.722222222,15.05882353,12.47058824,7.666666667,53.55555556,10.33333333,37.30769231
291,1,0.888888889,0.705882353,0.611111111,0.833333333,0.611111111,15.5,9.6875,9.25,39.27272727,19.93333333,29.45454545
295,1,1,0.555555556,0.5,0.888888889,0.5,15.06666667,12.11764706,13.2,68.66666667,12.6875,28.77777778
297,0.842105263,1,0.5,0.666666667,0.666666667,0.722222222,10.6875,11.94117647,6.5,32.58333333,7.416666667,27.84615385
299,0.866666667,1,0.555555556,0.5,0.611111111,0.722222222,7.769230769,12.2,5.6,44.33333333,6.181818182,30.46153846
301,0.823529412,1,0.833333333,0.5,0.944444444,0.611111111,13.35714286,10.0625,9.4,57.33333333,10.64705882,18.90909091
303,1,1,0.5,0.555555556,0.666666667,0.555555556,7.882352941,9.294117647,4.25,43.3,5.25,53.6
304,1,1,0.888888889,0.5,0.888888889,0.666666667,12.76470588,9,9.4375,45.55555556,10,23.66666667
305,0.9375,0.944444444,0.333333333,0.388888889,0.722222222,0.555555556,11.13333333,8.294117647,10.66666667,45.85714286,7.615384615,26
306,1,0.944444444,0.777777778,0.722222222,0.888888889,0.444444444,15.9375,12.23529412,20.92857143,38.30769231,22.25,34
308,0.941176471,1,0.666666667,0.166666667,0.888888889,0.555555556,14.5625,12,9,36,10.5,22.5
309,1,1,0.666666667,0.277777778,0.833333333,0.277777778,10.82352941,12.375,11.33333333,57,9,19
310,0.875,1,0.555555556,0.333333333,0.944444444,0.666666667,12.07142857,14.38888889,10.7,40.5,8.294117647,36.83333333
311,0.941176471,1,0.611111111,0.555555556,0.833333333,0.277777778,14.4375,14.58823529,6.545454546,38.2,9.642857143,10.6
312,0.928571429,1,0.611111111,0.388888889,0.666666667,0.555555556,9.692307692,11.35294118,16.36363636,44.85714286,7.916666667,43
313,,,0.833333333,0.555555556,0.944444444,0.388888889,,,7.866666667,33.6,9.764705882,15.57142857
314,1,1,0.666666667,0.388888889,0.944444444,0.611111111,10.17647059,8.764705882,7.083333333,38.57142857,7,22.72727273
316,1,1,0.5,0.444444444,0.833333333,0.444444444,9.888888889,8.555555556,9.111111111,26.5,6.933333333,29
317,0.933333333,0.888888889,0.388888889,0.444444444,0.666666667,0.777777778,8.285714286,9.6875,3,62.5,5.833333333,19.14285714
323,1,0.941176471,0.944444444,0.777777778,0.944444444,0.333333333,18.94444444,11.75,16.29411765,42.92857143,13,29.33333333
324,0.9375,1,0.733333333,0.722222222,0.777777778,0.611111111,13.13333333,10,5.545454546,52.92307692,9.642857143,31.36363636
326,1,1,0.444444444,0.611111111,0.888888889,0.611111111,12.88888889,14,10.5,50.45454546,10.625,26.27272727
